"Compound Name" Mass RT K-1 K-10 K-11 K-12 K-13 K-14 K-15 K-16 K-17 K-18 K-19 K-2 K-20 K-21 K-22 K-23 K-24 K-25 K-26 K-27 K-28 K-29 K-3 K-30 K-4 K-5 K-6 K-7 K-8 K-9 12V0a 13V0 14V0 15V0 16V0 10V0 17V0 11V0 18V0 19V0 20V0 22V0 23V0 24V0 26V0 12V0B 27V0 28V0 29V0 30V0 32V0 25V0 33V0 34V0 35V0 39V0 38V0 36V0 40V0 QC_1 QC_10 QC_11 QC_12 QC_2 QC_3 QC_4 QC_5 QC_6 QC_7 QC_8 QC_9 ...75 "K - controls"
288.1378@5.87 288.1378 5.87 17895.46028 11457.88325 24349.92276 27239.57407 11489.53029 15461.23389 24243.39918 15778.64901 17095.64171 22779.5394 17370.48828 22640.23092 17234.28821 12250.10711 25423.5486 20830.88782 25902.37281 17650.30238 18897.48816 14298.65216 24056.06496 26429.74421 19410.84 19153.21113 25585.66264 25809.4041 26243.35238 17955.44533 19230.46728 20852.34313 28068.64884 16692.74127 16576.4192 11116.44053 16904.50131 13820.43038 14209.58563 16065.06495 15820.4413 19364.25027 24931.93296 18192.19359 22752.56497 20144.66969 13072.06743 24767.85884 25801.68903 26760.20659 20897.44013 22165.61987 27043.84122 17596.26056 16093.05405 16681.21681 14836.98354 14369.76567 17489.60752 16539.24961 21272.54215 21261.02954 21145.03983 21529.98655 20843.32877 22086.94246 22253.80207 20703.46322 17789.44845 23744.07075 20002.6965 23855.15568 18301.30996 NA NA
291.0662@4.33 291.0662 4.33 771152.1179 776403.0546 761035.7396 751469.2975 764273.4039 753054.0701 670241.154 762190.2203 747966.5557 776467.9994 764346.5355 738732.4288 743854.1375 758440.1 772617.4081 779083.181 749399.6851 774405.2656 733482.3491 758247.842 763486.1068 749313.8112 747662.9629 793081.0525 783331.8392 751789.3846 760121.9982 737191.086 749780.6155 761387.7488 768652.878 752194.1947 753297.9188 783638.5031 746075.8962 761680.5829 766612.1215 765745.8945 751114.677 745658.4109 767000.3382 773579.4468 730410.3769 764464.0785 591263.653 774740.5493 751073.2085 748636.1318 756646.9556 774651.5273 738070.9704 761177.6675 777430.6837 754104.7398 761908.9289 770606.5062 768324.6648 831969.1229 741235.1322 775999.3059 767700.9594 751160.0639 768808.3191 760634.6283 763521.1306 753612.6348 749526.0834 752042.696 756695.8956 754895.5199 757767.5166 NA NA
292.2036@6 292.2036 6 81847.13157 32847.45646 74870.4068 7356.471693 95615.4636 29913.89494 0 11827.76519 81802.29154 75215.19572 4980.075803 0 20156.58038 76401.98636 97963.46706 33618.06536 46456.39885 25898.59762 0 9505.999311 65377.84358 6444.188198 82378.30336 94626.94776 36856.15239 4369.655474 22720.51142 0 112408.4627 101029.8049 9556.213197 0 0 42871.55712 0 95659.9488 91478.9579 82128.53966 86362.96756 3428.918312 4085.611542 126275.7866 3302.591037 87021.75274 78817.0301 29709.45844 3601.040922 0 82176.73405 39771.77813 3466.207199 4216.826851 0 105460.8603 6056.880463 87299.96893 24962.77489 35239.0071 85614.52421 8327.563274 4865.973902 3744.403645 7594.053438 2554.696319 0 16705.48508 7466.444245 14518.74549 0 11458.54857 11855.15068 NA NA
292.277@7.64 292.277 7.64 25005.55935 19841.36615 28849.94905 19472.05524 20860.48508 18403.81006 29001.88111 23624.25231 14477.55047 22552.39881 24649.39639 16707.23085 18662.83343 16403.55444 13929.73765 15018.67266 15470.34799 25860.7455 22065.49732 29203.65727 26266.55287 15752.37196 25608.55637 21533.45249 24726.61667 19332.62034 21526.53453 25465.95419 21622.01419 13947.89219 32189.95893 14998.999460000001 14472.59384 11100.89086 23530.23635 11511.87058 16783.90607 14842.93853 12375.30105 19992.52992 13254.60882 14287.79357 19628.76145 19271.46202 19521.19949 29794.17724 13207.30926 9327.618824 18736.32288 22031.08531 16510.80772 11397.89845 11040.55967 14127.13362 18004.39254 21891.54398 26755.56139 13861.52789 21997.17653 17887.86092 18305.55476 20905.8753 19429.85037 18777.54254 17223.85654 19578.71699 21593.16388 17872.88735 20311.64533 17696.83703 18345.5482 NA NA
296.1405@5.71 296.1405 5.71 55218.05048 34792.15819 41932.29025 63198.96487 8814.760257 47819.58554 57273.32885 51860.28567 45610.6405 47936.59202 42598.5326 47253.77897 40985.09695 39882.86862 54997.70766 47222.20289 42392.62454 41068.07852 46565.32469 42188.6353 59887.39622 50113.54371 42247.39041 50129.50804 53209.34237 40336.66053 57697.65794 7629.894577 50312.25242 50008.22042 53467.81918 42379.1127 37368.94068 35209.55044 41606.09714 37529.01242 41721.64642 45488.94864 38229.07881 44385.04876 46032.57736 50396.68401 51906.3472 49300.59484 39777.25404 61121.12514 49291.40684 50417.85589 51825.85965 50759.24444 55790.86435 11770.51315 47135.39821 46476.11892 36268.84163 43986.73286 42656.02465 43249.23469 60191.91684 49004.31977 54145.25356 47233.59395 51361.93101 44240.58391 48599.01012 44928.51861 43234.50593 40438.50236 48445.70148 56963.19691 48805.79906 NA NA
297.266@5.43 297.266 5.43 149801.7918 80342.21275 119402.3646 135720.7585 18094.55653 87927.74752 139026.6404 151565.2282 112246.4249 127781.9011 137991.699 100639.3564 96693.85964 71411.33879 75875.77199 72084.79778 80642.36926 138969.9932 103444.2883 34280.02858 120138.3901 92637.20973 149309.7562 105664.7099 172853.361 130908.0919 57300.79989 147777.841 125024.9835 39940.15502 110272.3475 156886.0947 76756.04417 71532.28239 140904.7372 89350.86779 83864.50721 86338.89287 136442.2888 139430.7729 105262.5425 109713.6219 174116.0303 77120.31738 105045.9818 215988.5708 65569.30729 47293.22787 70739.88236 150712.3701 151115.5752 145907.4319 95096.43373 189148.6461 106168.8556 80615.9912 156455.9228 81007.8283 183125.6613 122903.7595 126200.1557 108862.5141 143056.1405 119551.4514 70945.69261 138223.854 121866.1503 101400.7347 92137.64966 106244.9572 148762.9887 NA NA
297.2661@5.98 297.2661 5.98 271687.6744 71177.25362 28845.52794 262075.9805 162287.3823 114597.8447 265575.2929 231715.667 28690.29193 355262.0654 193031.4076 240427.3429 134616.9223 60263.40633 155475.4965 134566.6761 144247.7684 285134.699 302148.052 227952.7797 301136.0076 164891.1659 241611.59 225187.7458 268498.9774 178499.6863 177899.5902 200734.277 167937.9821 202676.1521 194272.7245 134748.4458 113843.4759 103722.6132 213617.4059 54431.24484 140733.101 348178.4097 113188.827 262741.6302 240512.8634 228699.2919 149749.5585 39841.61223 109524.9682 292065.454 105342.1835 118666.7782 201146.371 268779.0396 288565.106 259027.3713 66848.11739 271559.9709 156568.1362 163956.0546 213339.1659 0 280506.5096 238416.3465 223768.8656 205553.611 213584.4011 246334.8118 288101.3869 232314.5877 244082.5981 253935.9982 108092.0691 214790.4862 124762.9367 NA NA
301.1458@5.51 301.1458 5.51 24124.40883 17090.4063 23263.91598 26375.33247 18612.31098 16155.68746 20594.14246 16063.4171 17188.6527 20893.67485 16790.43495 20809.47299 16916.27663 14715.79478 24020.9004 20504.49924 26116.02695 17361.12717 21578.59302 13686.57022 25476.29495 18738.3062 16171.13146 21940.22366 22882.08345 24765.95537 23304.62583 19304.11255 22580.71228 19945.14989 23923.18787 16751.76719 20824.23085 13544.07775 17164.77552 14316.10842 22159.80151 17513.57332 16356.4212 21378.04906 23106.66001 23621.9972 18222.74824 21302.96652 14929.27795 27974.85201 18742.5545 24978.59618 21393.56015 4124.122028 20768.00458 20133.34056 16981.79544 15116.36124 15183.6556 15498.36555 18478.23122 21907.14484 19937.2335 20883.95088 21117.79373 19271.46919 22875.09441 19876.46513 20261.96046 16825.96821 2396.610612 16614.38574 21925.69815 22486.21739 20222.27774 NA NA
301.2068@4.26 301.2068 4.26 35882.38083 23604.86449 12611.65941 67885.20905 29707.21135 32932.30322 31909.18616 57315.65206 29513.01546 24630.89772 41882.16574 24316.38816 23720.87596 31279.48924 41604.35292 36098.30731 50112.52811 64076.70074 27435.61753 63466.96573 9347.323971 33998.53549 38658.78264 55318.55402 15347.45263 14026.57412 50175.23597 46187.82531 18834.65348 25091.99392 20316.26629 17994.17025 20708.35322 18166.64828 36967.91498 15684.25608 27463.82397 27238.70866 17406.69162 37319.48901 41885.60866 51386.98778 17733.17617 30031.49861 25143.51237 41400.69764 35542.98774 37255.12026 13836.4734 5174.065774 17847.22225 37891.49508 35187.33305 29489.50699 45097.99576 26125.7538 54094.9067 22842.27888 20113.69184 31827.71452 32135.14037 31149.58879 32127.55284 30731.67779 30864.21837 29269.4771 29452.79199 27354.15062 28266.20131 31769.86444 29597.49899 NA NA
301.2251@3.28 301.2251 3.28 24803.90674 26516.10188 17546.17866 37523.00625 22575.50403 29466.49279 23753.56514 17547.41473 4077.687431 19042.3053 30703.11871 19041.9634 29201.08775 26687.91193 12035.45808 0 0 47854.05445 18988.54043 18519.27067 11614.2722 40307.26551 66245.15181 47566.07977 56674.34943 12439.06288 118976.1542 10063.38619 26685.93061 35543.33767 27524.69521 38036.28763 0 6216.725636 0 8538.135534 24237.5542 18661.89662 0 17972.601 8240.315163 12094.64594 8976.912648 0 10655.47218 33784.33741 16698.66225 8068.407479 6177.238653 21464.26334 23241.1507 51090.97846 31629.346 0 0 15903.25234 29811.64334 3390.70276 0 0 24963.17694 25459.27973 24284.81501 0 28065.62763 26631.38228 27005.54744 24408.55864 23956.32902 23109.21092 23914.36349 NA NA
303.205@2.32 303.205 2.32 22333.64146 31812.48444 17683.47312 38931.36684 32236.41689 27615.6624 9879.954642 15709.99751 31009.85703 20501.69019 60634.05553 59259.24445 35235.36968 33976.91183 35637.23107 47338.95401 39579.10827 19827.27235 26094.08282 44740.01632 23361.7185 45022.59571 55891.14486 19578.61602 7807.79532 17125.67575 69543.33602 47559.36436 15449.6703 20014.67195 22719.64355 37763.76605 33610.89085 17057.66105 16318.55279 33120.3886 45541.50238 38815.01126 29096.65979 26434.25191 27913.46988 50827.67229 30529.66627 10493.85481 32054.83569 25258.21717 41624.3782 57270.81447 20672.91579 6953.188654 24967.88698 33749.66767 53080.46157 53329.08639 14246.56883 21715.07607 25049.83674 6943.309868 16982.14799 27488.16148 25063.63889 25862.77673 23796.13574 10812.0779 27265.7472 37632.44013 24150.4743 27268.50394 26082.9957 25660.3999 9857.780972 NA NA
303.2049@2.32 303.2049 2.32 59636.41583 31812.48444 17683.47312 69345.05189 14037.03485 27589.05791 9873.003046 15711.51272 31009.85703 20501.69019 60654.17013 59306.85382 35235.36968 33976.91183 104261.6898 47344.67372 12288.23321 57475.17177 26094.08282 44745.61715 23361.7185 45022.59571 55891.14486 63837.04421 7805.459111 17125.67575 69514.89422 47554.96732 15449.6703 20022.50544 22719.64355 37763.76605 33648.66754 17057.66105 43100.1735 33120.3886 45541.50238 38815.01126 29096.65979 26434.25191 27924.62718 50827.67229 30529.66627 25130.30363 32054.83569 25258.21717 41624.3782 57270.81447 20672.91579 6953.188654 24975.64708 33736.30655 53080.46157 53329.08639 14246.56883 21715.07607 25080.09214 19344.04828 16982.14799 27488.16148 25063.63889 25851.6195 23814.81989 10812.0779 27265.7472 37632.44013 24150.4743 11262.13487 26082.9957 25660.3999 9846.112472 NA NA
309.1948@3.09 309.1948 3.09 52792.04445 24202.9722 31488.0583 60519.03188 70110.82616 27726.80947 34384.90123 65692.1869 19638.40993 83848.07648 76781.21187 41328.20507 53224.04209 73387.10264 44674.54839 54591.66816 50288.44935 30929.69358 51931.11033 50623.14227 31625.63175 20702.78158 53265.39146 78726.81884 69069.27603 69356.96829 33389.88944 43495.84731 56858.87246 79293.19666 37632.69752 31424.24697 13093.66746 31355.78604 77596.06973 28883.5854 17694.85276 105099.3313 19527.6001 53638.37109 26106.44448 37273.0333 36987.15498 70944.46718 9795.294171 112483.3299 58072.79872 47747.32743 153686.129 39800.88824 48136.75343 52759.33202 56243.8223 15932.64005 58021.63226 39238.89902 58576.96234 28664.19251 26598.79412 54138.16181 52595.70825 51273.42334 53989.01277 55182.17443 53238.99549 54270.77082 56049.19278 49053.51723 53179.21653 55255.53605 53504.13115 NA NA
309.1951@3.08 309.1951 3.08 55849.64469 14121.34441 16246.19115 71230.84157 86818.90303 51716.26043 19138.23114 68890.39424 20312.80061 36062.6712 38403.57438 43152.92158 57375.01156 88527.29055 47433.24699 91168.81306 63177.50743 13280.57382 67393.56999 14014.94542 34790.3325 53069.24397 68094.58299 81790.42772 83333.66537 29580.12415 38709.69874 45148.08245 22742.04218 39892.9956 38594.09416 32978.92242 33994.2417 37810.75143 98758.28356 32029.56028 41790.0338 58876.0441 20324.88517 17129.88614 27496.61655 40438.77151 45633.63764 73823.11104 21760.9824 127423.4891 25259.05622 97063.75244 162714.8025 45678.17861 59530.85093 55188.09506 58814.2296 32568.50608 61370.83338 11880.46421 92539.56501 29891.55061 26649.93886 25640.31211 26539.81915 61780.58315 24609.58608 66850.82304 27705.29439 25815.16875 67456.4537 25424.19757 27055.22129 66328.19114 66400.98366 NA NA
310.156@6.31 310.156 6.31 43528.71474 24164.28486 37975.88649 50603.41439 32318.32642 33630.40005 45513.14548 21355.23584 29297.72172 36520.18403 28338.11484 39774.6362 32110.17234 26508.58084 33244.90765 33509.70613 41947.37975 25542.60652 40512.61555 35613.87735 41802.61075 41923.86224 30941.96266 41702.72931 49803.63462 38319.44255 43113.45439 25766.75874 37123.2012 36844.13308 47637.67386 26386.67626 24602.68725 19001.59106 33419.07319 26072.00269 29838.75547 22888.44036 24413.75767 36726.21201 42495.40394 23857.95683 36311.12729 36757.61657 28787.08892 51938.03968 37098.22445 39660.20925 41194.85876 34800.44497 57759.99955 38870.9066 35128.5811 27917.87638 25623.91533 32326.80678 31164.34101 29925.07443 38530.62293 36409.73267 38996.07358 37490.63777 36215.93579 35337.52774 35509.16668 35220.53213 34704.76766 29414.56627 37264.35302 37916.39021 35696.2673 NA NA
311.1547@5.12 311.1547 5.12 16026.07808 13764.064 37312.79481 25267.65915 39353.73853 58578.47573 23996.8461 25904.34845 30258.5328 19075.55211 13017.27408 11311.38693 16178.59527 40689.92863 27086.14498 8358.332681 4209.67164 27816.8414 9624.673435 18515.64625 24987.84835 4094.50497 14491.15068 34645.41125 5476.96408 28265.38672 11477.56229 52854.01178 23480.39921 0 18025.03223 21362.42108 12083.63535 7992.284335 19583.96856 18709.57579 26453.32533 9176.545936 24156.29876 25737.90227 34968.69396 25983.79624 10823.76221 39457.59897 28441.02332 39667.50135 32949.09881 43286.11871 3118.972033 11163.08745 19418.35401 32189.51927 20267.17829 3933.889417 16592.33429 42202.85447 20834.07912 5697.010411 6542.355161 29252.66324 29188.06024 27561.13056 28560.54201 27895.67961 26370.96987 31185.66201 26035.57827 28681.81748 25869.90335 32820.40029 26831.06929 NA NA
311.2102@3.21 311.2102 3.21 12015.88659 21222.02222 8059.868654 5893.521003 12851.64045 5325.893069 12188.29499 9677.353996 10359.91434 10633.43057 9472.245367 15953.78024 10708.49979 11582.33567 9929.472521 23013.74332 9300.219075 16489.65425 12954.80626 11346.13094 18350.77221 19565.68975 30133.19272 17394.01949 11707.8969 14112.11428 24982.57225 14036.84894 11420.68247 15758.95611 5944.319573 9830.901259 10086.9197 5380.906012 18048.54815 9103.477518 11824.22483 18417.5749 11739.48129 9155.670434 20909.3851 13264.02115 12239.9359 9023.021979 15816.72563 9066.807352 13397.49532 15082.64497 16990.71753 7983.063374 14279.85376 15630.23711 15423.68582 16617.34212 10221.18932 9436.442509 15761.8267 5265.287682 5809.511809 9801.745973 8460.813116 21396.689 11381.26696 11342.68694 9986.359967 10276.60862 9131.975651 9542.674343 9247.446538 10342.6105 10250.09752 NA NA
311.2108@3.28 311.2108 3.28 12015.88659 21222.02222 8059.868654 5841.77047 12851.64045 5787.194673 12167.4434 9671.504297 10323.12132 10243.89308 13916.93972 16076.79072 10734.45292 13708.57884 9907.068197 23013.74332 9555.673684 16671.30155 12954.80626 13694.50939 18350.77221 14914.97076 30133.19272 16663.26858 11679.35613 14112.11428 23378.17542 13973.47264 8298.341743 15698.37349 5952.946537 8944.069591 9627.023362 5508.521687 17984.08162 9103.477518 11824.22483 18266.40788 11790.0925 9141.940442 20909.3851 13242.80433 12216.61386 9468.337979 15816.72563 9116.042604 13397.49532 15160.2981 14071.20837 7983.063374 14262.45028 16250.39283 15155.20579 16572.23575 10227.4335 9436.442509 14022.30917 5265.287682 6126.878974 9700.821957 8506.288522 21396.689 11353.20569 10374.26318 10037.67901 10227.6125 9196.159481 9542.674343 10731.7619 11583.03475 10572.28379 NA NA
311.3188@8.26 311.3188 8.26 42741.73508 26234.89394 70265.05513 57888.65907 46131.86453 34213.66023 44920.11497 40038.39519 41152.51086 56775.90995 48454.21079 63996.07084 33138.18669 36699.7306 29794.06896 22659.91178 38826.03659 51954.58435 44919.38734 52716.22708 44331.76417 38988.9697 41654.82353 39384.7618 38922.70151 11751.68395 47194.88657 58753.00134 83047.84094 34222.63498 51620.67697 41065.24343 50201.12305 35089.55349 46676.54885 0 49660.93103 46870.0526 35017.45726 41883.07256 35594.79429 33685.42589 54500.09532 34906.81526 46019.24926 0 54643.98075 0 57102.15178 64523.57154 0 0 43096.79682 31202.73588 26543.04381 41837.54478 54530.218030000004 83227.84196 0 50833.73111 0 0 0 58239.39508 0 55515.70522 54430.04506 0 42606.5663 45090.05852 0 NA NA
312.2299@5.05 312.2299 5.05 21502.95727 15863.6641 24318.19507 0 23736.81377 19837.3291 0 23317.41233 42462.78578 25930.43921 0 0 0 23297.35674 0 43056.71985 11456.63336 20656.00067 0 10655.08279 46168.7699 0 38486.60288 25350.88767 25632.89378 0 19965.56846 7707.970503 30052.28832 40115.99016 13919.968570000001 0 0 28538.67079 14555.21314 40230.49219 21267.79901 39637.10731 0 0 8616.876628 26086.11601 0 60420.525 22983.90159 17075.47859 6394.213936 13863.50442 11623.01372 37830.38429 0 0 7846.905352 30675.63342 0 13050.31578 8230.758905 19503.27485 29426.99498 8023.506274 35228.97765 0 18615.97508 4868.03756 0 0 9559.824824 9335.095403 13745.90425 9153.298584 10988.28682 NA NA
312.2668@5.59 312.2668 5.59 14332.15901 18404.7898 25793.35408 33405.65212 6903.444944 211930.7105 60274.81363 43842.84847 200562.1362 32759.0135 12329.65873 24884.10023 146673.0147 10249.22786 19285.65266 228142.0048 32823.86576 191952.6229 20371.91583 7691.405464 79136.15027 23545.37674 12479.18121 19593.43925 31368.49032 10899.92378 26746.9928 12839.09594 49484.52374 60701.065 24586.55341 22501.54094 245543.3581 265170.4269 0 11144.95839 23363.99306 22116.96811 16371.59869 11371.13711 43643.33877 29272.25062 29929.8321 25895.48453 176362.6319 31450.65972 59316.50801 27527.58552 19293.89904 25827.5375 38246.3146 11338.52068 162465.9309 15511.23102 69324.75303 23909.9764 27778.11529 56074.43376 27991.21004 13974.18551 12212.65541 14954.23301 24889.4209 15118.6969 57217.4462 11789.07187 18724.25574 218465.3778 23657.28529 37833.17012 262719.4897 NA NA
312.266@5.68 312.266 5.68 19730.60427 15425.77505 18061.58894 25994.67457 17459.71576 18399.71949 19288.42103 36642.76889 27564.08066 9315.218151 16120.23015 15700.2098 22753.23708 18702.216950000002 12054.21657 36806.64067 26256.67204 17600.34865 21082.70958 34529.88867 24608.38383 36316.94091 19059.6931 21910.07192 20842.92849 14141.89342 18196.54309 19419.28397 17778.56022 26510.01094 28829.95859 13683.04431 17985.43377 18996.092670000002 21147.38692 27345.72207 23081.38508 26506.59461 23863.28098 18506.03981 17543.83976 28563.88011 27228.17033 21520.35133 20705.03246 22743.4751 28444.89248 19962.26832 22737.36458 21219.17965 24263.16181 20779.09299 20982.89426 19071.25114 52755.03936 28832.39648 20311.16174 20133.04422 23572.26149 17783.33116 22850.04999 22598.98982 20521.21671 19555.83459 25989.30626 31240.75084 19570.00313 25983.57927 19030.64895 15803.27736 21108.13834 NA NA
313.0225@5.71 313.0225 5.71 36103.27907 30375.33447 10351.31338 50267.41928 32749.05632 39970.33677 12644.77226 41768.24076 6863.394003 8992.439783 33536.23542 42855.9806 34230.8568 31352.42837 11664.048 8112.432525 49838.04702 32742.9814 43258.51375 40349.40473 49365.47522 11865.43702 8332.535621 42298.12799 41635.97394 6304.246897 48360.63425 34919.58042 40996.38083 42998.55137 45086.67752 33093.50073 32230.47162 26411.29764 38026.10407 34273.60314 35216.31181 7432.982067 8969.289264 42025.27971 40924.08732 45715.07441 38760.63275 39571.83601 29127.77551 13473.20382 43049.05735 48278.43893 11011.88548 43190.13133 51851.91427 37465.26242 39512.21346 37424.58608 28129.43488 39668.97611 9149.418829 33933.93477 44517.2129 9738.094095 40758.63323 9358.347801 36791.49199 39339.81504 35603.20138 39820.03664 38251.31565 33798.27934 40191.72282 41320.44986 5114.689592 NA NA
313.0218@6.31 313.0218 6.31 26844.57814 12529.96786 25132.299 36577.02474 22473.10358 23082.14831 29608.83932 14332.28051 17533.25867 26885.56436 21338.63079 22794.2509 19030.19331 20143.61455 20509.71222 19041.58373 27946.81628 18611.60832 25361.10717 24225.59626 27471.29631 29981.13763 19636.98317 25281.24187 29126.12635 27217.5445 28376.24401 18412.9749 23761.27139 24861.28707 30091.62237 17895.50932 19651.11662 12143.95825 22224.10874 16104.08415 20041.89683 17221.69065 14466.37432 29984.46045 28734.53779 13715.06782 22327.11062 24070.95514 15068.56595 31123.25658 23339.91822 29580.154 25631.38329 21267.18605 40645.64251 28314.35074 22779.69422 18159.42477 16587.26031 16884.81023 18922.56241 19012.42325 23210.77834 25532.39191 21801.31811 24664.76518 23931.68206 27387.03936 22353.75173 23419.95031 25324.19733 22770.71013 25581.29404 22293.06753 22573.84723 NA NA
313.2252@3.53 313.2252 3.53 171101.5688 66758.6524 48615.89673 111413.8972 101454.0194 65857.27118 194690.3472 113703.4676 83181.3863 137931.6432 119604.1712 217717.1386 163154.402 171124.6088 171031.7633 135961.2231 161335.7143 257195.4212 89846.60374 155366.8663 60398.1616 117375.1884 70943.46586 217338.298 134836.2399 56871.78782 220044.2892 132671.5819 93295.06245 174121.5837 70023.84467 142120.8353 109959.9252 114281.1757 142797.0793 116299.2116 158382.5574 262745.856 118180.804 116950.5776 106137.6785 145005.3191 121240.6949 102013.0892 80693.88328 101086.1175 100574.9572 87259.14585 108031.8498 27152.63763 92926.15438 148102.4703 181991.5233 130812.3241 147364.2663 110543.2068 183744.3508 45710.19727 96381.16537 114876.3804 110362.4192 105237.5316 115505.2362 118385.6944 115118.7136 113067.4852 114005.7925 109549.5427 108980.7525 106859.258 115722.1802 NA NA
313.2251@3.53 313.2251 3.53 73420.85575 66818.78997 48546.75039 111417.1247 101341.3994 65488.02814 194642.4689 113683.5652 83064.2072 137955.2976 119539.7246 217723.0696 163159.6053 170929.9797 92867.84559 135940.2983 161335.7143 257166.3223 89905.34156 155459.2537 60407.56497 117368.4733 70909.16718 217311.4841 134830.4746 56857.23802 220053.8965 132172.5192 93295.06245 48462.40085 69963.21546 142024.8199 36351.20008 114268.8761 142656.9143 116270.9719 158386.7069 262703.9165 118118.9839 117001.6872 106091.159 143941.2211 121254.6029 101926.0881 80590.57476 101066.1326 100410.4556 86726.50259 107679.0666 27131.58718 92638.93305 148161.6631 181955.8358 130794.8792 147376.4659 110353.084 183757.724 45717.36072 96360.20014 114746.3021 110362.4192 105310.2065 115538.8595 118326.3314 115088.273 112963.1663 113696.934 109403.0246 109003.0612 106929.7131 115587.7209 NA NA
313.2619@6.36 313.2619 6.36 112550.9018 87708.41957 111979.836 99859.13696 127615.4688 45340.83425 120320.3729 113830.3547 75718.2349 119998.0237 159360.6909 82511.11029 120140.7129 38792.97726 115382.7118 30968.67431 103345.0799 133386.2944 109831.1495 133747.9203 104812.6345 77139.21084 118159.3123 125530.1917 132283.9759 138690.3762 112057.2613 93054.38776 66286.14446 56375.09191 141910.902 29567.9554 102201.3471 56011.28943 90352.65475 86719.37568 151466.4387 98872.133 80291.95543 70802.63108 32863.85083 99048.43084 139539.5646 91337.78036 88896.16566 56632.70884 89596.45249 13746.96467 21644.37531 89945.29936 152907.2957 184719.3509 132249.8566 242677.9359 85567.7352 85960.03054 124321.1233 34441.51109 95745.33988 88821.84329 40520.07489 92809.89339 122434.8743 89084.70084 85634.32295 83069.19835 92337.84563 78673.77787 83066.70171 86897.76696 124453.4981 NA NA
315.0189@5.71 315.0189 5.71 16972.20161 11087.58346 14169.99243 6467.983081 13648.20143 15118.84476 17501.29347 15552.8988 13432.08714 15546.72976 12227.19403 16421.39642 13977.38523 11234.33718 15702.56808 11690.406789999999 16060.23693 14190.93829 14712.97265 14500.46241 19052.64892 16416.8132 15289.19809 15360.24541 15651.5244 14668.67119 16833.2429 13101.58507 13670.43287 17936.01291 21780.405170000002 12304.92503 10560.93024 11066.89501 13335.80499 14393.02212 12370.02843 13178.64657 12986.75004 16504.88361 19507.46492 16344.72699 2605.169917 14912.14673 11992.41255 5425.340155 15690.75872 16729.30724 15762.89029 15765.8529 1980.567921 14689.24682 15063.50933 13659.53613 11880.80425 15177.76217 13391.12702 14496.99562 17813.01482 13319.99403 14852.718210000001 15267.63852 15673.36806 13908.94361 15745.56527 15633.21662 13470.21169 12847.43694 14750.20944 15920.32874 15204.56315 NA NA
315.2404@3.81 315.2404 3.81 450811.6743 182034.8922 105868.1617 206500.5454 269545.1853 180213.5438 520032.5208 379702.8304 324236.6064 276721.2146 348112.8946 665387.0706 490837.339 336929.3441 645737.3513 490162.0306 632954.053 934738.9096 227189.7957 561237.7161 231384.0787 431938.0465 200447.9749 691182.0904 429111.8487 121368.6622 668677.4295 405535.2385 209615.8676 362059.9598 179192.6732 491144.3266 285087.2237 329880.1956 392531.1199 263496.1388 247813.0059 696562.5259 331060.9016 244546.6897 256132.8286 402572.3815 337204.561 323706.2613 257109.306 270816.4089 352073.7735 328186.8486 189400.027 50762.45387 289862.4677 528281.3383 971718.7951 404105.7804 544314.6596 230855.3792 377588.2885 166179.8419 316364.2743 342205.1765 324121.4591 338739.5491 332957.8204 338545.0317 335505.6594 330354.1977 321434.1169 335784.1792 332319.3299 333562.9235 323370.2483 NA NA
315.273@4.8 315.273 4.8 6097.608412 13198.50633 17494.69915 9666.32133 25799.83321 6591.506532 6968.18716 18243.2658 33229.85849 31823.01539 17222.25305 25985.05116 8565.558257 14846.91148 10947.93355 21709.10514 35399.79804 18248.71389 16168.53638 41699.03276 8924.194669 9906.348322 8659.515334 39376.61331 47203.4534 21709.1408 16323.00006 9737.640249 43329.18965 18696.75017 42779.83987 19203.44201 21317.87415 16956.37394 33972.65408 11155.86229 32482.24299 43583.67734 41930.46897 25254.24459 4585.863216 15375.98219 38648.30259 19761.18547 7436.8956690000005 83005.99817 13145.03043 16577.60208 27756.08764 32983.15925 5390.103542 36075.26572 34683.09693 8381.839053 9051.423177 7070.650247 9625.543084 16594.66184 66739.45792 27397.28301 15473.66391 17257.05618 45486.90441 18225.8929 18814.03583 17475.05829 6089.71472 74771.76226 13056.5706 7850.373674 24089.40084 NA NA
316.1424@7.93 316.1424 7.93 55267.09863 109703.3183 99811.61623 95675.72789 195188.8224 104715.7 98478.25437 129128.2265 69237.67768 114800.6927 73496.01529 47881.03235 116846.3798 62351.26361 90839.803 51808.61248 141922.5159 105223.5815 60658.71588 131252.9646 43577.32771 60270.84669 80466.0714 43059.08761 68064.42145 51562.11354 159529.6692 83035.05728 61757.55531 58675.4145 209566.8223 100387.5761 125413.1434 78447.92058 64203.34269 99077.79371 112753.959 170793.9082 84406.2889 78931.26283 124298.9349 113465.1915 44549.63432 100116.3392 108191.2443 86835.44445 70387.88627 31800.46174 56988.79774 52309.88336 114124.4364 127699.4005 72886.88808 97364.30262 69745.34915 40625.72041 28676.81627 68696.55334 102966.3553 84314.63216 66032.50571 71040.98406 68776.76736 79904.10962 74149.24082 75084.276930000007 78234.39118 69304.52112 70632.28051 63205.66122 63520.37316 NA NA
